epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,4148.68,1.91269,1.26999,1.05564,0.43168,0.8659,0.68724,0.3179,1.72736,1.14871,0.86346,0.005017,0.005017,0.005017
153,4176.18,1.88268,1.29356,1.03759,0.36549,0.81777,0.59375,0.29473,1.73863,1.11348,0.85401,0.004984,0.004984,0.004984
154,4203.91,1.87939,1.21268,0.95772,0.46141,0.62706,0.62887,0.31089,1.68642,1.03827,0.85448,0.004951,0.004951,0.004951
155,4232.05,1.84702,1.21503,0.99373,0.45753,0.80668,0.62283,0.29722,1.7811,1.0899,0.86576,0.004918,0.004918,0.004918
156,4259.56,1.89232,1.31967,1.01895,0.46029,0.79075,0.62372,0.31849,1.83575,1.11325,0.86249,0.004885,0.004885,0.004885
157,4287.17,1.9189,1.17089,0.96181,0.53209,0.7624,0.75032,0.38728,1.73892,1.11878,0.8562,0.004852,0.004852,0.004852
158,4314.94,1.89057,1.19567,0.96491,0.71803,0.66133,0.77481,0.3673,1.65483,1.06287,0.8595,0.004819,0.004819,0.004819
159,4342.52,1.85122,1.11829,0.91195,0.5522,0.76583,0.73799,0.33224,1.69094,1.12708,0.85781,0.004786,0.004786,0.004786
160,4369.87,1.88445,1.30944,1.08278,0.54422,0.7483,0.70551,0.32026,1.72245,1.08847,0.85362,0.004753,0.004753,0.004753
161,4397.47,1.91167,1.21464,0.96437,0.37871,0.5765,0.58486,0.30901,1.75626,1.09309,0.85166,0.00472,0.00472,0.00472
162,4425.05,1.91791,1.27528,1.02678,0.38543,0.69691,0.55925,0.29011,1.75256,1.19397,0.85958,0.004687,0.004687,0.004687
163,4452.65,1.87546,1.20641,1.00748,0.4163,0.80878,0.68178,0.27185,1.73237,1.16307,0.85898,0.004654,0.004654,0.004654
164,4480.13,1.83351,1.13016,0.96113,0.58984,0.75682,0.72674,0.37678,1.69941,1.07735,0.85636,0.004621,0.004621,0.004621
165,4507.59,1.84179,1.14401,0.92581,0.70982,0.76018,0.80933,0.36033,1.755,1.05698,0.85459,0.004588,0.004588,0.004588
166,4535.81,1.84655,1.16078,0.9611,0.61134,0.76331,0.7525,0.33319,1.74595,1.05245,0.85344,0.004555,0.004555,0.004555
167,4563.87,1.87292,1.25651,1.00707,0.66947,0.74935,0.79383,0.35947,1.66555,1.08074,0.85139,0.004522,0.004522,0.004522
168,4591.32,1.83364,1.1437,0.93043,0.59528,0.76754,0.7646,0.3566,1.72381,1.1201,0.85262,0.004489,0.004489,0.004489
169,4618.78,1.81786,1.15239,0.92843,0.49873,0.81719,0.71194,0.33375,1.69295,1.13717,0.85259,0.004456,0.004456,0.004456
170,4646.79,1.82569,1.20722,0.9629,0.5997,0.75155,0.78534,0.38197,1.66849,1.13818,0.84926,0.004423,0.004423,0.004423
171,4674.78,1.79651,1.14024,0.96035,0.57808,0.89245,0.83927,0.38135,1.65849,1.03205,0.84859,0.00439,0.00439,0.00439
172,4702.51,1.94601,1.22016,1.01708,0.44859,0.8139,0.60538,0.31286,1.70451,1.05508,0.85313,0.004357,0.004357,0.004357
173,4730.15,1.83097,1.17791,0.97953,0.66738,0.71527,0.74451,0.33331,1.65556,1.00545,0.84362,0.004324,0.004324,0.004324
174,4757.71,1.81004,1.12047,0.92981,0.62966,0.72829,0.74742,0.32284,1.69019,1.00844,0.84705,0.004291,0.004291,0.004291
175,4785.15,1.86242,1.24316,1.02488,0.51702,0.81061,0.71205,0.31746,1.69019,1.17092,0.8523,0.004258,0.004258,0.004258
176,4812.75,1.81065,1.21626,1.00674,0.7314,0.74905,0.77639,0.33141,1.69984,0.99674,0.85089,0.004225,0.004225,0.004225
177,4840.29,1.82565,1.12494,0.91519,0.60806,0.69285,0.73741,0.32073,1.65826,1.11556,0.84525,0.004192,0.004192,0.004192
178,4867.83,1.81183,1.15001,0.94039,0.61537,0.7886,0.76197,0.32933,1.71318,1.03429,0.85141,0.004159,0.004159,0.004159
179,4895.98,1.75507,1.08476,0.89823,0.57649,0.83578,0.7993,0.34646,1.65665,1.03507,0.84634,0.004126,0.004126,0.004126
180,4923.44,1.80006,1.15524,0.95364,0.5854,0.79688,0.78065,0.34324,1.69572,1.04734,0.84924,0.004093,0.004093,0.004093
181,4951.19,1.74951,1.10327,0.91654,0.74916,0.72997,0.82023,0.40455,1.6455,1.01653,0.84966,0.00406,0.00406,0.00406
182,4978.63,1.80654,1.244,1.03687,0.66374,0.73642,0.81136,0.42262,1.62148,1.03298,0.84834,0.004027,0.004027,0.004027
183,5006.37,1.81332,1.16203,0.98699,0.66273,0.71448,0.74048,0.35671,1.67564,1.06793,0.84591,0.003994,0.003994,0.003994
184,5033.87,1.80493,1.1311,0.98231,0.68997,0.76217,0.74237,0.34185,1.72011,1.0206,0.84886,0.003961,0.003961,0.003961
185,5061.42,1.82583,1.17512,1.0003,0.53918,0.96438,0.82713,0.35791,1.64075,1.06377,0.84986,0.003928,0.003928,0.003928
186,5089.12,1.8227,1.15161,0.98278,0.61317,0.6685,0.65491,0.28478,1.66763,1.14148,0.85263,0.003895,0.003895,0.003895
187,5116.99,1.80095,1.08447,0.9354,0.59616,0.62449,0.68615,0.2876,1.60293,1.11122,0.84432,0.003862,0.003862,0.003862
188,5144.63,1.78313,1.18457,0.9852,0.66733,0.56494,0.57485,0.3064,1.59476,1.03163,0.85146,0.003829,0.003829,0.003829
189,5172.53,1.8143,1.06046,0.91999,0.54373,0.83721,0.74739,0.33131,1.6661,1.04457,0.86178,0.003796,0.003796,0.003796
190,5200.05,1.75037,1.11225,0.92457,0.60154,0.84691,0.74259,0.3286,1.65964,1.01336,0.85571,0.003763,0.003763,0.003763
191,5227.5,1.71731,1.08154,0.9362,0.64013,0.56056,0.53146,0.26828,1.72565,1.08593,0.85778,0.00373,0.00373,0.00373
192,5254.9,1.8269,1.234,1.04847,0.52644,0.67057,0.69832,0.30565,1.65896,1.07747,0.84704,0.003697,0.003697,0.003697
193,5282.31,1.85479,1.22468,1.00056,0.59065,0.61233,0.52794,0.26065,1.74085,1.06477,0.85308,0.003664,0.003664,0.003664
194,5309.81,1.84231,1.23488,1.03106,0.5464,0.73003,0.67793,0.30886,1.65709,1.05694,0.85033,0.003631,0.003631,0.003631
195,5337.85,1.77381,1.13343,0.93969,0.71916,0.77433,0.79632,0.32914,1.64695,1.00047,0.83849,0.003598,0.003598,0.003598
196,5365.42,1.76225,1.05021,0.9118,0.47121,0.90058,0.85119,0.37699,1.61842,1.01333,0.84544,0.003565,0.003565,0.003565
197,5392.92,1.78623,1.17842,1.01907,0.46637,0.86195,0.77262,0.34759,1.59654,0.99648,0.84126,0.003532,0.003532,0.003532
198,5421.09,1.77291,1.0585,0.88596,0.56163,0.8268,0.77747,0.3506,1.62727,1.03229,0.84358,0.003499,0.003499,0.003499
199,5448.67,1.80453,1.0948,0.92247,0.43806,0.87829,0.65203,0.31935,1.62702,1.03797,0.84672,0.003466,0.003466,0.003466
200,5476.34,1.72614,1.07296,0.92762,0.59314,0.61633,0.59506,0.30065,1.65828,1.04668,0.8495,0.003433,0.003433,0.003433
201,5503.95,1.74989,1.08809,0.92081,0.39482,0.7873,0.64367,0.33977,1.61721,1.0236,0.84731,0.0034,0.0034,0.0034
202,5531.46,1.74206,1.10531,0.94698,0.41592,0.5902,0.51688,0.2696,1.68754,1.06091,0.85879,0.003367,0.003367,0.003367
203,5559.15,1.7258,1.09887,0.95412,0.60131,0.77484,0.74918,0.32728,1.6044,1.01673,0.85174,0.003334,0.003334,0.003334
204,5586.88,1.74505,1.02467,0.9024,0.46079,0.78642,0.67581,0.33587,1.65346,1.08158,0.85186,0.003301,0.003301,0.003301
205,5614.44,1.73019,1.04098,0.9167,0.4362,0.78517,0.67497,0.34626,1.6275,1.06749,0.84939,0.003268,0.003268,0.003268
206,5642.22,1.74533,1.08209,0.9327,0.41389,0.81744,0.63045,0.33261,1.61675,1.05995,0.84811,0.003235,0.003235,0.003235
207,5669.8,1.73029,1.03683,0.91834,0.36121,0.78446,0.61666,0.33991,1.56941,1.0664,0.83737,0.003202,0.003202,0.003202
208,5698,1.75732,1.09579,0.9458,0.32469,0.71398,0.57506,0.32001,1.63456,1.06429,0.84236,0.003169,0.003169,0.003169
209,5725.44,1.76723,1.25628,1.05952,0.54216,0.84371,0.71355,0.35004,1.64028,0.99358,0.84659,0.003136,0.003136,0.003136
210,5753.12,1.73708,1.08422,0.94362,0.52639,0.81821,0.72963,0.34578,1.60513,1.07546,0.84543,0.003103,0.003103,0.003103
211,5780.78,1.74048,1.08813,0.95869,0.76075,0.72829,0.78372,0.39823,1.63386,0.99464,0.84614,0.00307,0.00307,0.00307
212,5810.28,1.66697,1.06385,0.96459,0.59932,0.94332,0.80508,0.40399,1.63825,1.00219,0.84943,0.003037,0.003037,0.003037
213,5840.7,1.74016,1.1387,0.94871,0.59375,0.7894,0.76981,0.39916,1.65222,1.05176,0.84814,0.003004,0.003004,0.003004
214,5868.42,1.73266,1.10212,0.94598,0.59021,0.80293,0.75661,0.35163,1.68537,1.11895,0.84537,0.002971,0.002971,0.002971
215,5896.29,1.70203,1.17144,1.02299,0.60933,0.80154,0.79345,0.40254,1.61371,1.0165,0.84618,0.002938,0.002938,0.002938
216,5924.19,1.74414,1.01985,0.91161,0.46595,0.61573,0.60886,0.30656,1.71518,1.02839,0.85672,0.002905,0.002905,0.002905
217,5951.96,1.74798,1.03034,0.92339,0.56746,0.81587,0.73672,0.32156,1.63518,1.02352,0.85082,0.002872,0.002872,0.002872
218,5980.42,1.70055,1.03773,0.95151,0.62217,0.7786,0.77387,0.38666,1.60701,0.98178,0.8437,0.002839,0.002839,0.002839
219,6008.59,1.73301,1.1471,0.98176,0.7357,0.75762,0.80272,0.34846,1.64222,0.96083,0.84771,0.002806,0.002806,0.002806
220,6036.3,1.71113,1.11724,0.97114,0.54907,0.80622,0.80278,0.35547,1.66347,1.02334,0.84799,0.002773,0.002773,0.002773
221,6064,1.72952,1.06193,0.95121,0.48886,0.54068,0.65161,0.33993,1.6994,1.01404,0.85141,0.00274,0.00274,0.00274
222,6091.82,1.73431,1.05472,0.93995,0.45214,0.84109,0.59739,0.29716,1.65849,1.04196,0.84848,0.002707,0.002707,0.002707
223,6119.35,1.70137,1.05926,0.94969,0.53096,0.81369,0.79819,0.35733,1.62675,1.0502,0.84741,0.002674,0.002674,0.002674
224,6147.04,1.70687,1.08679,0.94591,0.72089,0.72193,0.80428,0.36429,1.62915,0.95974,0.84841,0.002641,0.002641,0.002641
225,6174.81,1.67883,1.05363,0.96656,0.57883,0.86633,0.76298,0.35961,1.61216,0.97818,0.84915,0.002608,0.002608,0.002608
226,6202.42,1.73315,1.0796,0.93186,0.59574,0.81834,0.79063,0.38419,1.62508,0.97429,0.84423,0.002575,0.002575,0.002575
227,6230.14,1.68347,1.07569,0.94065,0.61265,0.76205,0.79615,0.40213,1.64209,0.97533,0.84967,0.002542,0.002542,0.002542
228,6257.74,1.67688,1.00459,0.907,0.65081,0.77355,0.77554,0.37896,1.59205,1.00109,0.84547,0.002509,0.002509,0.002509
229,6285.24,1.69974,1.08956,0.9823,0.63205,0.79703,0.75552,0.36312,1.5947,1.02277,0.84202,0.002476,0.002476,0.002476
230,6313.04,1.70975,1.07691,0.9572,0.62641,0.74759,0.80067,0.39099,1.61729,0.99132,0.84484,0.002443,0.002443,0.002443
231,6340.74,1.67675,1.04421,0.94559,0.48512,0.86458,0.75155,0.35217,1.61472,1.05784,0.84294,0.00241,0.00241,0.00241
232,6368.43,1.65424,1.00563,0.92765,0.57884,0.88932,0.77404,0.34671,1.57985,1.02543,0.84045,0.002377,0.002377,0.002377
233,6395.97,1.67651,1.05835,0.93986,0.60909,0.7737,0.81474,0.40807,1.62819,0.98541,0.84972,0.002344,0.002344,0.002344
234,6423.57,1.65776,1.00369,0.89479,0.60874,0.78913,0.81896,0.37751,1.6201,0.97673,0.84725,0.002311,0.002311,0.002311
235,6451.68,1.66259,1.02502,0.93559,0.658,0.82321,0.79048,0.35028,1.63212,1.00534,0.84935,0.002278,0.002278,0.002278
236,6479.73,1.68405,0.96188,0.91134,0.64835,0.79698,0.79464,0.35965,1.62004,0.97773,0.85243,0.002245,0.002245,0.002245
237,6507.12,1.67527,1.08418,0.98132,0.64132,0.78899,0.76217,0.37855,1.62077,0.9641,0.85113,0.002212,0.002212,0.002212
238,6534.76,1.64932,1.03973,0.98118,0.46104,0.5886,0.61286,0.32563,1.59868,1.00168,0.84726,0.002179,0.002179,0.002179
239,6562.39,1.6554,1.08595,0.99784,0.71225,0.7486,0.80657,0.3675,1.63994,1.01436,0.84558,0.002146,0.002146,0.002146
240,6590.05,1.69486,1.08597,0.98416,0.56834,0.66247,0.74751,0.34781,1.57636,1.06797,0.84599,0.002113,0.002113,0.002113
241,6617.65,1.67596,1.10456,1.03244,0.59538,0.78916,0.79778,0.40487,1.57352,0.9825,0.8422,0.00208,0.00208,0.00208
242,6645.39,1.67137,1.06527,0.95084,0.58583,0.82883,0.76117,0.39442,1.59217,0.99599,0.84358,0.002047,0.002047,0.002047
243,6673.6,1.70339,1.11574,0.99718,0.50656,0.88196,0.80219,0.37825,1.62007,1.05301,0.84008,0.002014,0.002014,0.002014
244,6701.12,1.65406,1.12228,1.01034,0.50971,0.85966,0.70747,0.35303,1.63029,1.03919,0.84615,0.001981,0.001981,0.001981
245,6728.62,1.65362,0.97933,0.91881,0.44013,0.88077,0.59412,0.31695,1.64523,1.02141,0.84977,0.001948,0.001948,0.001948
246,6756.34,1.64233,0.99349,0.91216,0.46289,0.83731,0.69705,0.359,1.60253,1.05045,0.84569,0.001915,0.001915,0.001915
247,6784.23,1.61352,0.98156,0.91583,0.64992,0.71805,0.74058,0.35573,1.62382,0.99106,0.84872,0.001882,0.001882,0.001882
248,6811.73,1.66121,1.02961,0.95124,0.45914,0.89026,0.62084,0.29192,1.6567,1.0452,0.85085,0.001849,0.001849,0.001849
249,6839.44,1.57308,0.95211,0.89813,0.44944,0.82889,0.6253,0.35504,1.6092,0.99952,0.84728,0.001816,0.001816,0.001816
250,6867.2,1.60978,1.0032,0.94031,0.50674,0.82873,0.62693,0.31994,1.57341,0.96429,0.84565,0.001783,0.001783,0.001783
251,6894.73,1.6297,1.02911,0.94609,0.4659,0.8717,0.66245,0.34693,1.59423,0.98795,0.846,0.00175,0.00175,0.00175
252,6922.38,1.61156,1.0271,0.91912,0.55279,0.80519,0.65361,0.33702,1.58827,0.99379,0.84078,0.001717,0.001717,0.001717
253,6950.03,1.61774,1.01105,0.9369,0.46249,0.81187,0.65795,0.36392,1.56607,1.01229,0.84036,0.001684,0.001684,0.001684
254,6977.55,1.57327,0.97109,0.92732,0.6274,0.78324,0.7298,0.32119,1.62769,1.00064,0.8447,0.001651,0.001651,0.001651
255,7005.29,1.66159,0.99314,0.90785,0.56133,0.83714,0.73015,0.34857,1.63834,1.02334,0.84392,0.001618,0.001618,0.001618
256,7032.83,1.65412,0.96861,0.9107,0.62804,0.79736,0.74222,0.36076,1.61439,0.98936,0.84364,0.001585,0.001585,0.001585
257,7060.98,1.63564,0.99632,0.91799,0.65723,0.72581,0.74331,0.36043,1.59285,1.00478,0.84135,0.001552,0.001552,0.001552
258,7088.83,1.60809,1.10594,0.99299,0.6404,0.77734,0.7733,0.35167,1.62839,0.9957,0.84332,0.001519,0.001519,0.001519
259,7116.39,1.59589,0.96476,0.9248,0.53486,0.78559,0.62454,0.32483,1.63519,1.00441,0.8446,0.001486,0.001486,0.001486
260,7143.81,1.61033,0.99758,0.94888,0.63825,0.81592,0.73964,0.35491,1.61936,0.9975,0.84279,0.001453,0.001453,0.001453
261,7171.37,1.62902,1.01668,0.92286,0.43827,0.83709,0.64329,0.34038,1.60938,1.01985,0.83947,0.00142,0.00142,0.00142
262,7199.01,1.55918,0.96957,0.92561,0.63009,0.77109,0.73276,0.3567,1.59433,1.03109,0.83846,0.001387,0.001387,0.001387
263,7226.84,1.60643,1.02214,0.96369,0.62003,0.7684,0.78091,0.38577,1.58273,1.02019,0.83649,0.001354,0.001354,0.001354
264,7254.38,1.64988,1.02157,0.96003,0.68068,0.80187,0.82075,0.36642,1.56394,0.99815,0.83804,0.001321,0.001321,0.001321
265,7281.92,1.65404,1.09467,1.01688,0.69426,0.82871,0.84431,0.37467,1.58374,0.99794,0.84088,0.001288,0.001288,0.001288
266,7309.48,1.57609,0.9283,0.89867,0.68442,0.79021,0.81454,0.37741,1.58141,0.99152,0.84094,0.001255,0.001255,0.001255
267,7337.03,1.55961,0.91436,0.91723,0.60475,0.83079,0.78032,0.36906,1.57073,1.02045,0.84146,0.001222,0.001222,0.001222
268,7365.06,1.57801,1.00924,0.94845,0.55662,0.94777,0.8201,0.40336,1.58271,1.01774,0.8439,0.001189,0.001189,0.001189
269,7392.54,1.54235,0.96309,0.92655,0.67436,0.76152,0.77788,0.37736,1.58892,1.00881,0.84636,0.001156,0.001156,0.001156
270,7420.05,1.63818,0.98888,0.90539,0.66251,0.76763,0.76058,0.31549,1.64038,1.01034,0.84844,0.001123,0.001123,0.001123
271,7447.55,1.57555,0.94365,0.93181,0.67499,0.77289,0.77627,0.35212,1.62478,1.00849,0.84687,0.00109,0.00109,0.00109
272,7475.14,1.60072,1.0667,0.98835,0.42242,0.59562,0.60486,0.33132,1.62005,1.0572,0.84409,0.001057,0.001057,0.001057
273,7502.75,1.56993,0.91619,0.90496,0.45376,0.62291,0.62858,0.33165,1.58902,1.01925,0.84142,0.001024,0.001024,0.001024
274,7530.38,1.58022,0.95988,0.90339,0.45244,0.60144,0.61897,0.31984,1.62614,1.05996,0.84403,0.000991,0.000991,0.000991
275,7557.86,1.55467,0.94094,0.89206,0.41816,0.62671,0.60216,0.30979,1.61655,1.05913,0.84339,0.000958,0.000958,0.000958
276,7585.42,1.59788,0.97247,0.90093,0.45123,0.59083,0.5944,0.31134,1.59649,1.04232,0.84331,0.000925,0.000925,0.000925
277,7612.83,1.52803,0.97872,0.95741,0.44046,0.60216,0.61573,0.32951,1.60062,1.01595,0.84219,0.000892,0.000892,0.000892
278,7640.36,1.5065,0.92473,0.91674,0.64737,0.76704,0.77648,0.38862,1.56436,0.99067,0.84069,0.000859,0.000859,0.000859
279,7667.95,1.5849,0.94027,0.91936,0.61514,0.79141,0.77817,0.38857,1.55351,1.03208,0.8404,0.000826,0.000826,0.000826
280,7695.43,1.58422,0.90845,0.86471,0.41604,0.79802,0.65092,0.37,1.54941,1.05425,0.84068,0.000793,0.000793,0.000793
281,7723.02,1.572,0.96372,0.94294,0.40457,0.77807,0.63752,0.3452,1.53989,1.06885,0.84169,0.00076,0.00076,0.00076
282,7750.51,1.55461,0.96706,0.94239,0.70742,0.59983,0.65617,0.33409,1.54937,1.02356,0.8399,0.000727,0.000727,0.000727
283,7778.38,1.5968,0.99546,0.94579,0.70945,0.78815,0.79486,0.33135,1.5569,1.02413,0.84563,0.000694,0.000694,0.000694
284,7805.84,1.52903,0.93743,0.92154,0.6785,0.83245,0.79501,0.33654,1.56835,1.01546,0.84292,0.000661,0.000661,0.000661
285,7833.69,1.59554,1.05035,0.98061,0.67051,0.7663,0.76922,0.33819,1.56347,1.00997,0.84114,0.000628,0.000628,0.000628
286,7861.3,1.57377,0.97718,0.96273,0.69073,0.8371,0.81464,0.35438,1.58346,0.99042,0.84282,0.000595,0.000595,0.000595
287,7889.03,1.60539,0.94125,0.91498,0.65597,0.7714,0.77449,0.33124,1.58751,0.99551,0.84309,0.000562,0.000562,0.000562
288,7916.65,1.55947,0.96442,0.95445,0.66256,0.75469,0.7985,0.36238,1.57676,1.00103,0.84294,0.000529,0.000529,0.000529
289,7944.14,1.53419,0.92753,0.94234,0.62555,0.76917,0.79592,0.38735,1.56553,1.01152,0.84326,0.000496,0.000496,0.000496
290,7971.43,1.58138,1.01591,0.96505,0.60176,0.79772,0.77169,0.35205,1.56469,1.00903,0.84151,0.000463,0.000463,0.000463
291,8021.95,1.54023,0.91428,0.90703,0.72019,0.75271,0.7965,0.38342,1.63069,0.98336,0.84784,0.00043,0.00043,0.00043
292,8047.34,1.47458,0.88696,0.89181,0.75826,0.7375,0.7924,0.37254,1.61622,0.97346,0.84409,0.000397,0.000397,0.000397
293,8073.86,1.51049,0.87532,0.89235,0.70364,0.72232,0.77632,0.36918,1.60792,0.97847,0.84413,0.000364,0.000364,0.000364
294,8100.96,1.51444,0.88073,0.90481,0.65905,0.73097,0.76776,0.36483,1.58353,0.99192,0.84228,0.000331,0.000331,0.000331
295,8128.2,1.49311,0.84424,0.89832,0.61879,0.75866,0.77937,0.36423,1.58135,1.00777,0.84343,0.000298,0.000298,0.000298
296,8155.54,1.51502,0.84778,0.8975,0.64817,0.75421,0.76216,0.35354,1.55974,0.99705,0.84109,0.000265,0.000265,0.000265
297,8182.8,1.44774,0.85282,0.89437,0.64288,0.74846,0.76072,0.35546,1.58485,0.99457,0.84047,0.000232,0.000232,0.000232
298,8210.26,1.47167,0.84332,0.89997,0.65767,0.74369,0.75716,0.36273,1.57839,0.98772,0.8409,0.000199,0.000199,0.000199
299,8237.88,1.48228,0.83295,0.90413,0.68155,0.71258,0.75037,0.34674,1.56542,1.00982,0.83881,0.000166,0.000166,0.000166
300,8265.41,1.47017,0.82585,0.90378,0.64482,0.76246,0.74893,0.34786,1.56363,1.00491,0.84017,0.000133,0.000133,0.000133
,,,,,,,最大值,最大值,,,,,,
,,,,,,,0.85119,0.42262,,,,,,
